episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
350,360.0,497,214328,0.1,0.12887511372566224,1954.5032644580351,True,False
351,300.0,391,214719,0.1,0.15115869031815798,1959.831718750007,True,False
352,1480.0,691,215410,0.1,0.15625056306793855,1966.2224251659936,True,False
353,1070.0,811,216221,0.1,0.1426990281496876,1972.9754309160053,True,False
354,440.0,474,216695,0.1,0.12541915649958588,1976.9589214160223,True,False
355,680.0,650,217345,0.1,0.13520679675454012,1982.3454742500326,True,False
356,330.0,424,217769,0.1,0.13136132595674047,1985.8546778750024,True,False
357,1380.0,1391,219160,0.1,0.12241325957229597,1997.4481957500102,True,False
358,1680.0,812,219972,0.1,0.11448635338011927,2004.2640928750043,True,False
359,410.0,453,220425,0.1,0.11336596390908271,2007.8866408750182,True,False
360,430.0,502,220927,0.1,0.13905416682362556,2012.252547540993,True,False
361,270.0,382,221309,0.1,0.12947325963371745,2015.4524672080297,True,False
362,580.0,438,221747,0.1,0.12068508368908265,2019.07900245802,True,False
363,790.0,518,222265,0.1,0.1494701193502316,2023.813879000023,True,False
364,360.0,393,222658,0.1,0.13118990632344266,2027.2268658750108,True,False
365,1500.0,697,223355,0.1,0.1334000470587748,2033.4932807500008,True,False
366,420.0,342,223697,0.1,0.13048084801452797,2036.2877141250065,True,False
367,580.0,445,224142,0.1,0.15092152417511553,2040.3329135410022,True,False
368,300.0,359,224501,0.1,0.1004090848689278,2043.526258833008,True,False
369,270.0,342,224843,0.1,0.12777566850623664,2046.3114277080167,True,False
370,690.0,556,225399,0.1,0.13601591613599293,2051.0774700830225,True,False
371,710.0,548,225947,0.1,0.1429701130837202,2056.073569333006,True,False
372,460.0,404,226351,0.1,0.1455446690652925,2059.7151091250125,True,False
373,940.0,648,226999,0.1,0.1493987806118381,2065.5848517080303,True,False
374,750.0,747,227746,0.1,0.12574485518078116,2072.026067416009,True,False
375,560.0,450,228196,0.1,0.14846602115219673,2076.02733958303,True,False
